Class,Method,Inferred Type,Original Type,Source Code,Comments
[s]Diff::LCS::DefaultCallbacks,match,(XXX) -> XXX,,"def match(event)
        event
      end","# Called when two items match.
"
[s]Diff::LCS::DefaultCallbacks,discard_a,(XXX) -> XXX,,"def discard_a(event)
        event
      end","# Called when the old value is discarded in favour of the new value.
"
[s]Diff::LCS::DefaultCallbacks,discard_b,(XXX) -> XXX,,"def discard_b(event)
        event
      end","# Called when the new value is discarded in favour of the old value.
"
[s]Diff::LCS::DefaultCallbacks,change,(Diff::LCS::ContextChange) -> Diff::LCS::ContextChange,,"def change(event)
        event
      end","# Called when both the old and new values have changed.
"
[s]Diff::LCS,callbacks_for,(([ diffs: () -> XXX ] and [ discard_a: ((Diff::LCS::ContextChange or XXX)) -> XXX ] and [ discard_b: ((Diff::LCS::ContextChange or XXX)) -> XXX ] and [ match: ((Diff::LCS::ContextChange or XXX)) -> XXX ] and [ new: () -> XXX ] and [ respond_to?: (:change) -> XXX ] and [ respond_to?: (:finish) -> XXX ] and [ respond_to?: (:finished_a) -> XXX ] and [ respond_to?: (:finished_b) -> XXX ])) -> ([ diffs: () -> XXX ] and [ discard_a: ((Diff::LCS::ContextChange or XXX)) -> XXX ] and [ discard_b: ((Diff::LCS::ContextChange or XXX)) -> XXX ] and [ match: ((Diff::LCS::ContextChange or XXX)) -> XXX ] and [ new: () -> XXX ] and [ respond_to?: (:change) -> XXX ] and [ respond_to?: (:finish) -> XXX ] and [ respond_to?: (:finished_a) -> XXX ] and [ respond_to?: (:finished_b) -> XXX ]),,"def self.callbacks_for(callbacks)
    callbacks.new rescue callbacks
  end",""
Diff::LCS::DiffCallbacks,initialize,() { (Diff::LCS::DiffCallbacks) -> XXX } -> self,,"def initialize # :yields self:
    @hunk = []
    @diffs = []

    return unless block_given?

    begin
      yield self
    ensure
      finish
    end
  end",""
Diff::LCS::DiffCallbacks,finish,() -> [],,"def finish
    finish_hunk
  end","# Finalizes the diff process. If an unprocessed hunk still exists, then it
# is appended to the diff list.
"
Diff::LCS::DiffCallbacks,match,(XXX) -> [],,"def match(_event)
    finish_hunk
  end",""
Diff::LCS::DiffCallbacks,discard_a,"(Diff::LCS::ContextChange) -> [Diff::LCS::Change, Diff::LCS::Change, Diff::LCS::Change, Diff::LCS::Change, Diff::LCS::Change, Diff::LCS::Change, Diff::LCS::Change, Diff::LCS::Change, Diff::LCS::Change, Diff::LCS::Change, Diff::LCS::Change, Diff::LCS::Change, Diff::LCS::Change, Diff::LCS::Change, Diff::LCS::Change, Diff::LCS::Change, Diff::LCS::Change, Diff::LCS::Change, Diff::LCS::Change, Diff::LCS::Change, Diff::LCS::Change, Diff::LCS::Change, Diff::LCS::Change, Diff::LCS::Change, Diff::LCS::Change, Diff::LCS::Change, Diff::LCS::Change, Diff::LCS::Change, Diff::LCS::Change, Diff::LCS::Change, Diff::LCS::Change, Diff::LCS::Change, Diff::LCS::Change, Diff::LCS::Change, Diff::LCS::Change, Diff::LCS::Change, Diff::LCS::Change, Diff::LCS::Change, Diff::LCS::Change, Diff::LCS::Change, Diff::LCS::Change, Diff::LCS::Change, Diff::LCS::Change, Diff::LCS::Change, Diff::LCS::Change, Diff::LCS::Change, Diff::LCS::Change, Diff::LCS::Change, Diff::LCS::Change, Diff::LCS::Change, Diff::LCS::Change, Diff::LCS::Change, Diff::LCS::Change, Diff::LCS::Change, Diff::LCS::Change, Diff::LCS::Change, Diff::LCS::Change, Diff::LCS::Change, Diff::LCS::Change, Diff::LCS::Change, Diff::LCS::Change, Diff::LCS::Change]",,"def discard_a(event)
    @hunk << Diff::LCS::Change.new('-', event.old_position, event.old_element)
  end",""
Diff::LCS::DiffCallbacks,discard_b,(Diff::LCS::ContextChange) -> XXX,,"def discard_b(event)
    @hunk << Diff::LCS::Change.new('+', event.new_position, event.new_element)
  end",""
Diff::LCS::DiffCallbacks,finish_hunk,() -> [],,"def finish_hunk
    @diffs << @hunk unless @hunk.empty?
    @hunk = []
  end",""
Diff::LCS::ContextDiffCallbacks,discard_a,([ to_a: () -> XXX ]) -> XXX,,"def discard_a(event)
    @hunk << Diff::LCS::ContextChange.simplify(event)
  end",""
Diff::LCS::ContextDiffCallbacks,discard_b,([ to_a: () -> XXX ]) -> XXX,,"def discard_b(event)
    @hunk << Diff::LCS::ContextChange.simplify(event)
  end",""
Diff::LCS::ContextDiffCallbacks,change,([ to_a: () -> XXX ]) -> XXX,,"def change(event)
    @hunk << Diff::LCS::ContextChange.simplify(event)
  end",""
Diff::LCS::SDiffCallbacks,initialize,() { (Diff::LCS::SDiffCallbacks) -> XXX } -> self,,"def initialize #:yields self:
    @diffs = []
    yield self if block_given?
  end",""
Diff::LCS::SDiffCallbacks,match,"([ to_a: () -> XXX ]) -> [Diff::LCS::Change, Diff::LCS::Change, Diff::LCS::Change, Diff::LCS::Change, Diff::LCS::Change, Diff::LCS::Change, Diff::LCS::Change, Diff::LCS::Change, Diff::LCS::Change, Diff::LCS::Change]",,"def match(event)
    @diffs << Diff::LCS::ContextChange.simplify(event)
  end",""
Diff::LCS::SDiffCallbacks,discard_a,([ to_a: () -> XXX ]) -> XXX,,"def discard_a(event)
    @diffs << Diff::LCS::ContextChange.simplify(event)
  end",""
Diff::LCS::SDiffCallbacks,discard_b,([ to_a: () -> XXX ]) -> XXX,,"def discard_b(event)
    @diffs << Diff::LCS::ContextChange.simplify(event)
  end",""
Diff::LCS::SDiffCallbacks,change,([ to_a: () -> XXX ]) -> XXX,,"def change(event)
    @diffs << Diff::LCS::ContextChange.simplify(event)
  end",""
Diff::LCS::Block,initialize,([ each: () {(XXX) -> XXX} -> XXX ]) -> self,,"def initialize(chunk)
    @changes = []
    @insert = []
    @remove = []

    chunk.each do |item|
      @changes << item
      @remove << item if item.deleting?
      @insert << item if item.adding?
    end
  end",""
Diff::LCS::Block,diff_size,() -> Number,,"def diff_size
    @insert.size - @remove.size
  end",""
Diff::LCS::Block,op,() -> String,,"def op
    case [@remove.empty?, @insert.empty?]
    when [false, false]
      '!'
    when [false, true]
      '-'
    when [true, false]
      '+'
    else # [true, true]
      '^'
    end
  end",""
[s]Diff::LCS::Change,valid_action?,(XXX) -> (false or true),,"def self.valid_action?(action)
    VALID_ACTIONS.include? action
  end",""
Diff::LCS::Change,initialize,(*XXX) -> self,,"def initialize(*args)
    @action, @position, @element = *args

    fail ""Invalid Change Action '#{@action}'"" unless Diff::LCS::Change.valid_action?(@action)
    fail 'Invalid Position Type' unless @position.kind_of? IntClass
  end",""
Diff::LCS::Change,inspect,(*XXX) -> String,,"def inspect(*_args)
    ""#<#{self.class}: #{to_a.inspect}>""
  end",""
Diff::LCS::Change,to_a,"() -> [String, String, String]",,"def to_a
    [@action, @position, @element]
  end",""
